LSOA_code ,IMD_Score
E01011264,20.525
E01011265,13.602
E01011266,5.808
E01011267,27.863
E01011268,34.444
E01011269,20.713
E01011270,3.658
E01011271,6.327
E01011272,6.216
E01011273,14.569
E01011274,35.522
E01011275,20.43
E01011276,14.17
E01011277,11.756
E01011278,8.544
E01011279,8.896
E01011280,5.428
E01011281,35.407
E01011282,45.472
E01011283,60.875
E01011284,47.28
E01011286,27.153
E01011287,25.137
E01011292,63.407
E01011293,52.665
E01011294,71.263
E01011295,40.705
E01011296,7.48
E01011297,9.631
E01011298,33.281
E01011299,13.518
E01011300,19.494
E01011301,7.195
E01011302,8.54
E01011303,17.975
E01011304,27.623
E01011305,14.406
E01011306,7.906
E01011307,28.136
E01011308,14.494
E01011309,13.947
E01011310,9.874
E01011311,8.516
E01011312,68.158
E01011313,33.43
E01011314,31.258
E01011315,34.615
E01011316,56.525
E01011317,58.837
E01011318,60.903
E01011319,28.848
E01011320,26.108
E01011321,41.097
E01011322,31.22
E01011323,30.841
E01011324,50.956
E01011325,30.184
E01011326,56.465
E01011327,34.202
E01011328,33.003
E01011329,12.88
E01011330,32.712
E01011331,34.47
E01011332,55.539
E01011333,31.297
E01011334,43.106
E01011335,24.914
E01011336,58.939
E01011337,62.822
E01011338,58.414
E01011339,45.199
E01011340,52.044
E01011341,34.818
E01011342,56.031
E01011343,33.573
E01011344,66.91
E01011345,45.606
E01011346,57.706
E01011347,71.407
E01011348,63.844
E01011349,50.673
E01011350,10.781
E01011351,14.047
E01011352,18.777
E01011353,6.643
E01011354,55.493
E01011355,41.638
E01011356,21.148
E01011357,54.727
E01011358,44.396
E01011359,36.531
E01011360,48.864
E01011361,54.328
E01011362,50.099
E01011363,73.67
E01011364,51.6
E01011366,61.59
E01011368,75.543
E01011369,38.709
E01011370,49.859
E01011371,67.717
E01011372,78.577
E01011373,57.256
E01011374,49.976
E01011375,73.056
E01011376,3.576
E01011377,6.521
E01011378,44.401
E01011379,34.401
E01011380,5.624
E01011381,7.367
E01011382,5.778
E01011383,13.376
E01011384,19.647
E01011385,6.858
E01011386,3.721
E01011388,18.357
E01011390,20.906
E01011391,18.857
E01011392,18.29
E01011393,12.343
E01011394,14.56
E01011395,22.114
E01011396,15.992
E01011397,7.44
E01011398,6.099
E01011399,12.402
E01011400,18.647
E01011401,5.542
E01011402,16.202
E01011403,11.464
E01011404,6.477
E01011405,8.752
E01011406,10.396
E01011407,19.384
E01011408,17.367
E01011409,26.183
E01011410,12.605
E01011411,5.507
E01011412,11.492
E01011413,13.511
E01011414,11.16
E01011415,19.692
E01011416,14.767
E01011417,19.178
E01011418,12.798
E01011419,7.613
E01011420,16.615
E01011421,39.367
E01011422,47.041
E01011423,43.978
E01011424,38.7
E01011425,21.554
E01011426,56.13
E01011427,68.482
E01011428,46.144
E01011429,59.39
E01011430,54.836
E01011431,60.536
E01011432,62.805
E01011433,65.869
E01011434,61.9
E01011435,19.445
E01011440,19.988
E01011441,15.333
E01011442,14.71
E01011443,18.589
E01011444,26.801
E01011445,13.879
E01011446,17.689
E01011447,26.214
E01011448,34.888
E01011449,31.688
E01011450,40.891
E01011451,15.018
E01011452,5.719
E01011453,6.336
E01011454,5.041
E01011455,4.767
E01011456,6.236
E01011457,6.593
E01011458,4.261
E01011459,10.657
E01011460,13.378
E01011461,3.256
E01011462,25.488
E01011463,25.329
E01011464,7.479
E01011465,21.21
E01011466,45.822
E01011467,49.625
E01011468,57.848
E01011469,27.222
E01011470,38.956
E01011471,64.043
E01011472,61.377
E01011473,66.932
E01011474,64.785
E01011475,49.475
E01011476,47.318
E01011477,26.503
E01011478,27.617
E01011479,20.858
E01011480,17.918
E01011481,40.936
E01011482,25.191
E01011483,47.904
E01011484,53.188
E01011485,42.6
E01011488,31.393
E01011489,27.136
E01011490,15.206
E01011491,57.719
E01011492,61.101
E01011493,63.847
E01011494,46.657
E01011496,9.652
E01011497,53.221
E01011499,21.234
E01011500,16.026
E01011502,31.549
E01011504,49.97
E01011505,17.39
E01011506,12.16
E01011507,10.258
E01011508,6.909
E01011509,11.169
E01011510,49.413
E01011511,12.747
E01011512,11.415
E01011513,7
E01011514,11.059
E01011515,7.45
E01011516,5.766
E01011517,17.177
E01011518,16.307
E01011519,30.243
E01011520,10.33
E01011521,15.832
E01011522,8.638
E01011523,29.452
E01011524,15.224
E01011525,16.437
E01011526,4.452
E01011527,10.676
E01011528,7.312
E01011529,30.32
E01011530,13.852
E01011531,13.471
E01011532,29.784
E01011533,34.783
E01011534,18.514
E01011535,7.012
E01011536,12.816
E01011537,18.705
E01011538,34.961
E01011540,45.218
E01011541,31.608
E01011545,23.855
E01011546,27.395
E01011547,35.926
E01011548,15.743
E01011549,4.157
E01011550,13.63
E01011551,16.777
E01011552,38.474
E01011553,10.559
E01011554,6.544
E01011555,8.91
E01011556,13.3
E01011557,7.272
E01011558,41.818
E01011559,47.145
E01011560,44.335
E01011561,11.449
E01011562,4.498
E01011563,4.307
E01011564,3.445
E01011565,7.125
E01011566,8.348
E01011567,6.527
E01011568,6.381
E01011569,13.64
E01011570,6.021
E01011571,12.246
E01011572,7.393
E01011573,10.662
E01011574,14.664
E01011576,5.711
E01011578,13.995
E01011579,11.36
E01011580,5.797
E01011581,10.958
E01011582,34.693
E01011583,9.499
E01011584,8.683
E01011585,31.242
E01011586,20.699
E01011587,18.406
E01011588,12.086
E01011589,11.25
E01011590,10.896
E01011591,13.047
E01011592,12.828
E01011593,3.997
E01011594,33.633
E01011595,10.876
E01011596,8.915
E01011597,28.267
E01011598,15.501
E01011599,13.362
E01011600,14.273
E01011601,30.309
E01011602,21.226
E01011603,11.679
E01011604,12.931
E01011605,9.589
E01011606,31.365
E01011607,17.157
E01011608,33.191
E01011609,33.982
E01011610,18.457
E01011611,46.461
E01011612,28.871
E01011613,25.369
E01011614,13.884
E01011615,37.537
E01011616,57.608
E01011617,48.526
E01011618,51.339
E01011620,48.131
E01011621,49.45
E01011622,65.76
E01011623,68.697
E01011624,65.404
E01011625,72.732
E01011626,62.173
E01011627,29.018
E01011628,9.718
E01011629,22.08
E01011630,12.706
E01011632,39.099
E01011633,14.802
E01011634,21.761
E01011635,13.331
E01011636,16.373
E01011637,12.194
E01011638,11.094
E01011639,37.532
E01011641,9.134
E01011642,12.627
E01011643,10.92
E01011644,23.313
E01011645,12.053
E01011646,16.437
E01011647,28.287
E01011648,20.063
E01011649,2.697
E01011650,13.224
E01011651,16.245
E01011652,11.612
E01011653,8.68
E01011654,5.717
E01011655,8.598
E01011656,49.709
E01011657,54.405
E01011658,72.671
E01011659,60.282
E01011660,59.684
E01011661,65.552
E01011662,77.034
E01011663,62.24
E01011664,57.063
E01011665,51.35
E01011666,20.53
E01011667,71.544
E01011668,21.573
E01011669,24.495
E01011670,28.918
E01011671,50.636
E01011673,57.896
E01011677,64.061
E01011678,19.558
E01011681,40.604
E01011684,12.799
E01011685,6.321
E01011686,49.176
E01011687,11.767
E01011688,14.236
E01011689,15.244
E01011690,11.139
E01011691,32.732
E01011692,11.674
E01011693,15.511
E01011694,8.949
E01011695,44.85
E01011696,4.885
E01011697,19.005
E01011698,7.313
E01011699,4.385
E01011700,12.705
E01011701,5.085
E01011702,3.078
E01011703,4.805
E01011704,14.996
E01011705,25.043
E01011706,2.022
E01011707,11.362
E01011708,8.022
E01011709,4.787
E01011710,8.705
E01011711,6.609
E01011712,13.326
E01011713,7.118
E01011714,12.609
E01011715,7.558
E01011716,10.763
E01011717,27.8
E01011718,33.074
E01011719,12.574
E01011720,49.517
E01011721,54.238
E01011722,32.178
E01011723,57.235
E01011724,35.025
E01011725,61.248
E01011726,42.565
E01011727,22.189
E01011728,18.567
E01011729,50.669
E01011730,51.683
E01011731,19.141
E01011732,21.642
E01011733,19.96
E01011734,15.502
E01011735,61.807
E01011736,19.268
E01011737,40.521
E01011738,15.857
E01011739,56.848
E01032487,40.445
E01032488,9.083
E01032489,25.408
E01032490,10.617
E01032491,8.667
E01032492,39.766
E01032493,16.079
E01032494,44.142
E01032495,15.298
E01032496,10.634
E01032497,47.773
E01032498,29.881
E01032499,20.076
E01032500,49.59
E01032501,9.184
E01032502,37.513
E01032503,8.849
E01032504,3.599
E01032606,33.913
E01032607,41.971
E01032608,39.465
E01032876,7.9
E01032945,13.755
E01032946,14.101
E01033002,26.958
E01033003,43.235
E01033005,28.223
E01033006,19.178
E01033008,20.52
E01033010,20.139
E01033011,28.104
E01033013,37.462
E01033015,10.473
E01033016,13.794
E01033018,17.986
E01033019,14.35
E01033021,46.028
E01033031,42.551
E01033032,18.244
E01033033,17.423
E01033034,17.285
E01033035,67.767
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
